# PlayerID,PlayerName,PlayerPosition,TeamAbbName,TeamID,GP,MIN,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,RBO,RBD,RBT,AST,TO,STL,BLK,PF,PPG,TR
# LASTUPDATED: 2013/04/19 @ 14:01:49
# NOTE: Thank-you for supporting this site.
# COPYRIGHT: Copyright 2013 SPXStats.com
"# DISCLAIMER: This file is provided 'as is' with no warranties whatsoever, and is to be used for entertainment purposes only. By opening this file, you agree to our Terms of Service found at http://www.SportsInteractive.com/terms.asp."
# VERSION: 5.0
# ROWCOUNT: 469
# TRADECOUNT: 66
# SOURCECOUNT: 30
,Josh Smith,,,,76,,,,46.5,,,30.3,,,51.7,,,,,,,,,17.5
,Al Horford,,,,74,,,,54.3,,,50.0,,,64.4,,,,,,,,,17.4
,Jeff Teague,,,,80,,,,45.1,,,35.9,,,88.1,,,,,,,,,14.6
,Lou Williams,,,,39,,,,42.2,,,36.7,,,86.8,,,,,,,,,14.1
,Kyle Korver,,,,74,,,,46.1,,,45.7,,,85.9,,,,,,,,,10.9
,Devin Harris,,,,58,,,,43.8,,,33.5,,,72.7,,,,,,,,,9.9
,Ivan Johnson,,,,69,,,,52.0,,,7.7,,,61.8,,,,,,,,,6.6
,John Jenkins,,,,61,,,,44.6,,,38.4,,,84.3,,,,,,,,,6.1
,Zaza Pachulia,,,,52,,,,47.3,,,0.0,,,75.7,,,,,,,,,5.9
,DeShawn Stevenson,,,,56,,,,37.4,,,36.4,,,52.2,,,,,,,,,5.1
,Shelvin Mack,,,,31,,,,46.0,,,36.7,,,56.3,,,,,,,,,4.6
,Mike Scott,,,,40,,,,47.6,,,0.0,,,76.8,,,,,,,,,4.6
,Anthony Tolliver,,,,62,,,,38.0,,,33.8,,,86.3,,,,,,,,,4.1
,Johan Petro,,,,31,,,,43.6,,,25.0,,,91.7,,,,,,,,,3.5
,Dahntay Jones,,,,78,,,,36.9,,,22.4,,,77.0,,,,,,,,,3.4
,Jeremy Tyler,,,,21,,,,37.5,,,N/A,,,66.7,,,,,,,,,1.0
,Brook Lopez,,,,74,,,,52.1,,,0.0,,,75.8,,,,,,,,,19.4
,Deron Williams,,,,78,,,,44.0,,,37.8,,,85.9,,,,,,,,,18.9
,Joe Johnson,,,,72,,,,42.3,,,37.5,,,82.0,,,,,,,,,16.3
,Andray Blatche,,,,82,,,,51.2,,,13.6,,,68.5,,,,,,,,,10.3
,Gerald Wallace,,,,69,,,,39.7,,,28.2,,,63.7,,,,,,,,,7.7
,C.J. Watson,,,,80,,,,41.8,,,41.1,,,78.0,,,,,,,,,6.8
,Kris Humphries,,,,65,,,,44.8,,,0.0,,,78.9,,,,,,,,,5.8
,MarShon Brooks,,,,73,,,,46.3,,,27.3,,,73.4,,,,,,,,,5.4
,Jerry Stackhouse,,,,37,,,,38.4,,,33.7,,,87.0,,,,,,,,,4.9
,Reggie Evans,,,,80,,,,47.9,,,N/A,,,50.9,,,,,,,,,4.5
,Keith Bogans,,,,74,,,,38.0,,,34.3,,,64.7,,,,,,,,,4.2
,Mirza Teletovic,,,,53,,,,38.4,,,34.3,,,81.8,,,,,,,,,3.5
,Tyshawn Taylor,,,,38,,,,36.8,,,46.2,,,55.6,,,,,,,,,2.2
,Tornike Shengelia,,,,19,,,,43.5,,,50.0,,,56.3,,,,,,,,,1.6
,Josh Childress,,,,14,,,,28.6,,,33.3,,,50.0,,,,,,,,,1.0
,Kris Joseph,,,,10,,,,14.3,,,0.0,,,62.5,,,,,,,,,0.9
,Damion James,,,,2,,,,N/A,,,N/A,,,N/A,,,,,,,,,0.0
,Paul Pierce,,,,77,,,,43.6,,,38.0,,,78.7,,,,,,,,,18.6
,Kevin Garnett,,,,68,,,,49.6,,,12.5,,,78.6,,,,,,,,,14.8
,Rajon Rondo,,,,38,,,,48.4,,,24.0,,,64.5,,,,,,,,,13.7
,Jeff Green,,,,81,,,,46.7,,,38.5,,,80.8,,,,,,,,,12.8
,Jordan Crawford,,,,70,,,,41.5,,,33.7,,,81.1,,,,,,,,,11.6
,Jason Terry,,,,79,,,,43.4,,,37.2,,,87.0,,,,,,,,,10.1
,Avery Bradley,,,,50,,,,40.2,,,31.7,,,75.5,,,,,,,,,9.2
,Brandon Bass,,,,81,,,,48.6,,,0.0,,,86.0,,,,,,,,,8.7
,Courtney Lee,,,,78,,,,46.4,,,37.2,,,86.1,,,,,,,,,7.8
,Jared Sullinger,,,,45,,,,49.3,,,20.0,,,74.6,,,,,,,,,6.0
,Leandro Barbosa,,,,41,,,,43.0,,,38.3,,,75.6,,,,,,,,,5.2
,Terrence Williams,,,,24,,,,49.5,,,33.3,,,42.9,,,,,,,,,4.6
,Chris Wilcox,,,,61,,,,71.9,,,0.0,,,67.2,,,,,,,,,4.2
,Shavlik Randolph,,,,16,,,,58.3,,,N/A,,,40.7,,,,,,,,,4.2
