Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1999-05-26,10.12,10.12,10.12,10.12
1999-05-27,10.12,10.12,10.12,10.12
1999-05-28,10.13,10.13,10.13,10.13
1999-05-31,10.18,10.18,10.18,10.18
1999-06-01,10.19,10.19,10.19,10.19
1999-06-02,10.2,10.2,10.2,10.2
1999-06-04,10.2,10.2,10.2,10.2
1999-06-07,10.21,10.21,10.21,10.21
1999-06-08,10.22,10.22,10.22,10.22
1999-06-09,10.22,10.22,10.22,10.22
1999-06-10,10.22,10.22,10.22,10.22
1999-06-11,10.22,10.22,10.22,10.22
1999-06-14,10.22,10.22,10.22,10.22
1999-06-15,10.24,10.24,10.24,10.24
1999-06-16,10.24,10.24,10.24,10.24
1999-06-17,10.25,10.25,10.25,10.25
1999-06-18,10.25,10.25,10.25,10.25
1999-06-21,10.35,10.35,10.35,10.35
1999-06-22,10.38,10.38,10.38,10.38
1999-06-23,10.38,10.38,10.38,10.38
1999-06-24,10.38,10.38,10.38,10.38
1999-06-25,10.38,10.38,10.38,10.38
1999-06-28,10.4,10.4,10.4,10.4
1999-06-29,10.41,10.41,10.41,10.41
1999-06-30,10.4,10.4,10.4,10.4
1999-07-01,10.4,10.4,10.4,10.4
1999-07-02,10.41,10.41,10.41,10.41
1999-07-05,10.41,10.41,10.41,10.41
1999-07-06,10.42,10.42,10.42,10.42
1999-07-07,10.54,10.54,10.54,10.54
1999-07-08,10.61,10.61,10.61,10.61
1999-07-09,10.63,10.63,10.63,10.63
1999-07-12,10.63,10.63,10.63,10.63
1999-07-13,10.7,10.7,10.7,10.7
1999-07-14,10.71,10.71,10.71,10.71
1999-07-15,10.71,10.71,10.71,10.71
1999-07-16,10.78,10.78,10.78,10.78
1999-07-19,10.77,10.77,10.77,10.77
1999-07-20,10.88,10.88,10.88,10.88
1999-07-21,10.95,10.95,10.95,10.95
1999-07-22,10.94,10.94,10.94,10.94
1999-07-23,10.94,10.94,10.94,10.94
