wojewodztwo,powiat,ilosc,procent
DOLNOŒL¥SKIE,Boles³awiecki,4.8,14.9
DOLNOŒL¥SKIE,Jaworski,4.6,25.7
DOLNOŒL¥SKIE,Jeleniogórski,4.2,21.3
DOLNOŒL¥SKIE,Kamiennogórski,3.8,23.7
DOLNOŒL¥SKIE,Lubañski,4.7,24.2
DOLNOŒL¥SKIE,Lwówecki,4.2,26.9
DOLNOŒL¥SKIE,Zgorzelecki,5.3,15.6
DOLNOŒL¥SKIE,Z³otoryjski,4.5,27.9
DOLNOŒL¥SKIE,m. Jelenia Góra,3.7,10.2
DOLNOŒL¥SKIE,G³ogowski,5.4,17.1
DOLNOŒL¥SKIE,Górowski,3.6,28.7
DOLNOŒL¥SKIE,Legnicki,4.0,23.5
DOLNOŒL¥SKIE,Lubiñski,4.5,11.4
DOLNOŒL¥SKIE,Polkowicki,3.5,9.3
DOLNOŒL¥SKIE,m. Legnica,5.6,11.4
DOLNOŒL¥SKIE,Dzier¿oniowski,7.2,21.9
DOLNOŒL¥SKIE,K³odzki,16.3,28.4
DOLNOŒL¥SKIE,Œwidnicki,10.0,16.5
DOLNOŒL¥SKIE,Wa³brzyski *,4.7,34.8
DOLNOŒL¥SKIE,Z¹bkowiecki,6.1,25.1
DOLNOŒL¥SKIE,m. Wa³brzych,8.6,17.8
DOLNOŒL¥SKIE,Milicki,2.6,19.3
DOLNOŒL¥SKIE,Oleœnicki,6.5,17.0
DOLNOŒL¥SKIE,O³awski,4.3,12.9
DOLNOŒL¥SKIE,Strzelinski,3.1,19.8
DOLNOŒL¥SKIE,Œredzki,2.8,15.7
DOLNOŒL¥SKIE,Trzebnicki,4.6,16.1
DOLNOŒL¥SKIE,Wo³owski,4.0,23.0
DOLNOŒL¥SKIE,Wroc³awski,3.5,6.0
DOLNOŒL¥SKIE,m. Wroc³aw,20.5,6.2
KUJAWSKO-POMORSKIE,Bydgoski,5.6,14.6
KUJAWSKO-POMORSKIE,Toruñski,7.7,20.7
KUJAWSKO-POMORSKIE,m. Bydgoszcz,15.3,9.3
KUJAWSKO-POMORSKIE,m. Toruñ,10.0,10.6
KUJAWSKO-POMORSKIE,Brodnicki,5.0,16.4
KUJAWSKO-POMORSKIE,Che³miñski,4.7,25.6
KUJAWSKO-POMORSKIE,Golubsko-Dobrzyñski,4.4,25.2
KUJAWSKO-POMORSKIE,Grudzi¹dzki,4.2,29.1
KUJAWSKO-POMORSKIE,Sêpoleñski,3.6,25.5
KUJAWSKO-POMORSKIE,Œwiecki,7.2,19.8
