"Okres sprawozdawczy:";"Dane roczne";
"Kategoria:";"SZKOLNICTWO PODSTAWOWE, GIMNAZJALNE, PONADPODSTAWOWE I PONADGIMNAZJALNE";
"Grupa:";"SZKOLNICTWO PODSTAWOWE";
"Podgrupa:";"Szkoły podstawowe ogółem";
"Wymiary:";"Zakres przedmiotowy, Lata";
"Kod";"Jednostka terytorialna";"pomieszczenia szkolne";"pomieszczenia szkolne";"pomieszczenia szkolne";"pomieszczenia szkolne";"pomieszczenia szkolne";
;;"2007";"2008";"2009";"2010";"2011";
;;"[pom.]";"[pom.]";"[pom.]";"[pom.]";"[pom.]";
"1100000000";" ŁÓDZKIE";"10941";"10932";"11161";"11168";"10971";
"1101506000";"Powiat łódzki wschodni";"254";"260";"280";"278";"276";
"1101508000";"Powiat pabianicki";"371";"379";"386";"386";"385";
"1101520000";"Powiat zgierski";"583";"611";"638";"621";"619";
"1101521000";"Powiat brzeziński";"147";"147";"155";"136";"124";
"1101661000";"Powiat m.Łódź";"2436";"2405";"2477";"2463";"2295";
"1101701000";"Powiat bełchatowski";"503";"505";"491";"494";"495";
"1101707000";"Powiat opoczyński";"479";"469";"488";"491";"480";
"1101710000";"Powiat piotrkowski";"523";"529";"535";"542";"535";
"1101712000";"Powiat radomszczański";"568";"561";"583";"586";"583";
"1101716000";"Powiat tomaszowski";"446";"438";"440";"438";"497";
"1101762000";"Powiat m.Piotrków Trybunalski";"229";"199";"219";"226";"218";
"1101803000";"Powiat łaski";"265";"282";"279";"282";"276";
"1101809000";"Powiat pajęczański";"363";"366";"361";"371";"379";
"1101811000";"Powiat poddębicki";"233";"219";"222";"222";"233";
"1101814000";"Powiat sieradzki";"629";"633";"667";"658";"646";
"1101817000";"Powiat wieluński";"456";"455";"461";"472";"456";
"1101818000";"Powiat wieruszowski";"282";"267";"288";"294";"296";
"1101819000";"Powiat zduńskowolski";"248";"263";"264";"267";"267";
"1101902000";"Powiat kutnowski";"460";"460";"461";"457";"456";
"1101904000";"Powiat łęczycki";"273";"290";"293";"306";"306";
"1101905000";"Powiat łowicki";"474";"479";"463";"470";"441";
"1101913000";"Powiat rawski";"280";"277";"280";"275";"265";
"1101915000";"Powiat skierniewicki";"305";"307";"301";"310";"310";
"1101963000";"Powiat m.Skierniewice";"134";"131";"129";"123";"133";
"1140000000";" MAZOWIECKIE";"23036";"23148";"23442";"23722";"23652";
"1142502000";"Powiat ciechanowski";"478";"454";"460";"469";"457";
"1142504000";"Powiat gostyniński";"255";"256";"252";"256";"256";
"1142513000";"Powiat mławski";"440";"494";"484";"465";"452";
"1142519000";"Powiat płocki";"745";"734";"735";"723";"727";
"1142520000";"Powiat płoński";"482";"488";"488";"495";"492";
"1142527000";"Powiat sierpecki";"278";"277";"279";"288";"288";
"1142537000";"Powiat żuromiński";"308";"296";"308";"324";"309";
"1142562000";"Powiat m.Płock";"471";"478";"459";"459";"473";
"1142610000";"Powiat łosicki";"222";"230";"223";"243";"213";
"1142611000";"Powiat makowski";"267";"265";"262";"261";"241";
"1142615000";"Powiat ostrołęcki";"645";"624";"636";"633";"620";
"1142616000";"Powiat ostrowski";"445";"416";"417";"422";"426";
"1142622000";"Powiat przasnyski";"355";"363";"341";"344";"324";
"1142624000";"Powiat pułtuski";"324";"323";"323";"325";"316";
"1142626000";"Powiat siedlecki";"519";"506";"512";"509";"495";
"1142629000";"Powiat sokołowski";"358";"334";"351";"355";"357";
"1142633000";"Powiat węgrowski";"443";"441";"430";"417";"421";
"1142635000";"Powiat wyszkowski";"426";"417";"423";"428";"409";
"1142661000";"Powiat m.Ostrołęka";"171";"172";"178";"177";"172";
"1142664000";"Powiat m.Siedlce";"221";"217";"222";"220";"226";
"1142701000";"Powiat białobrzeski";"207";"213";"211";"218";"219";
"1142707000";"Powiat kozienicki";"389";"410";"409";"412";"397";
"1142709000";"Powiat lipski";"228";"212";"220";"213";"212";
"1142723000";"Powiat przysuski";"320";"289";"290";"283";"258";
"1142725000";"Powiat radomski";"854";"860";"889";"885";"878";
"1142730000";"Powiat szydłowiecki";"294";"298";"265";"269";"295";
"1142736000";"Powiat zwoleński";"233";"231";"227";"226";"227";
"1142763000";"Powiat m.Radom";"736";"738";"725";"772";"753";
"1142865000";"Powiat m. st. Warszawa";"5447";"5409";"5640";"5788";"5752";
"1142903000";"Powiat garwoliński";"706";"721";"721";"738";"734";
"1142908000";"Powiat legionowski";"362";"357";"356";"363";"411";
"1142912000";"Powiat miński";"736";"761";"768";"739";"738";
"1142914000";"Powiat nowodworski";"338";"340";"342";"346";"349";
"1142917000";"Powiat otwocki";"456";"479";"483";"483";"519";
"1142934000";"Powiat wołomiński";"826";"908";"918";"927";"903";
"1143005000";"Powiat grodziski";"323";"327";"323";"328";"327";
"1143006000";"Powiat grójecki";"542";"549";"555";"563";"574";
"1143018000";"Powiat piaseczyński";"549";"632";"683";"679";"692";
"1143021000";"Powiat pruszkowski";"531";"511";"515";"536";"570";
"1143028000";"Powiat sochaczewski";"399";"410";"420";"427";"415";
"1143032000";"Powiat warszawski zachodni";"403";"392";"384";"404";"439";
"1143038000";"Powiat żyrardowski";"304";"316";"315";"310";"316";
"2120000000";" MAŁOPOLSKIE";"16413";"16417";"16589";"16661";"16675";
"2122001000";"Powiat bocheński";"565";"563";"575";"573";"600";
"2122006000";"Powiat krakowski";"1352";"1338";"1350";"1354";"1366";
"2122008000";"Powiat miechowski";"297";"307";"280";"288";"256";
"2122009000";"Powiat myślenicki";"695";"687";"695";"703";"693";
"2122014000";"Powiat proszowicki";"280";"289";"292";"297";"301";
"2122019000";"Powiat wielicki";"578";"586";"579";"580";"586";
"2122161000";"Powiat m.Kraków";"2511";"2485";"2575";"2558";"2540";
"2122205000";"Powiat gorlicki";"634";"604";"615";"621";"622";
"2122207000";"Powiat limanowski";"859";"853";"876";"895";"906";
"2122210000";"Powiat nowosądecki";"1287";"1280";"1299";"1317";"1316";
"2122211000";"Powiat nowotarski";"1179";"1179";"1213";"1222";"1210";
"2122217000";"Powiat tatrzański";"395";"399";"403";"410";"416";
"2122262000";"Powiat m.Nowy Sącz";"316";"317";"327";"331";"335";
"2122303000";"Powiat chrzanowski";"480";"478";"477";"478";"479";
"2122312000";"Powiat olkuski";"544";"551";"523";"536";"534";
"2122313000";"Powiat oświęcimski";"638";"629";"629";"639";"652";
"2122315000";"Powiat suski";"459";"467";"465";"467";"470";
"2122318000";"Powiat wadowicki";"790";"800";"807";"815";"829";
"2122402000";"Powiat brzeski";"564";"555";"554";"524";"520";
"2122404000";"Powiat dąbrowski";"363";"350";"369";"371";"362";
"2122416000";"Powiat tarnowski";"1224";"1301";"1285";"1274";"1265";
"2122463000";"Powiat m.Tarnów";"403";"399";"401";"408";"417";
