"Okres sprawozdawczy:";"Dane roczne";
"Kategoria:";"WYNAGRODZENIA I ŚWIADCZENIA SPOŁECZNE";
"Grupa:";"WYNAGRODZENIA";
"Podgrupa:";"Przeciętne miesięczne wynagrodzenia brutto";
"Wymiary:";"Wyszczególnienie, Lata";
"Kod";"Jednostka terytorialna";"ogółem";"ogółem";"ogółem";"ogółem";"ogółem";"ogółem";"ogółem";"ogółem";"ogółem";"ogółem";"ogółem";
;;"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";
;;"[zł]";"[zł]";"[zł]";"[zł]";"[zł]";"[zł]";"[zł]";"[zł]";"[zł]";"[zł]";"[zł]";
"1100000000";" ŁÓDZKIE";"1966,22";"2024,32";"2123,36";"2188,15";"2287,90";"2470,86";"2740,58";"2884,60";"3066,02";"3245,97";":";
"1101506000";"Powiat łódzki wschodni";"1647,74";"1762,31";"1791,79";"1836,05";"1939,69";"2126,36";"2303,11";"2447,97";"2554,12";"2677,69";":";
"1101508000";"Powiat pabianicki";"1763,97";"1857,39";"1913,13";"1980,37";"2045,07";"2158,65";"2430,88";"2519,87";"2622,52";"2812,11";":";
"1101520000";"Powiat zgierski";"1733,35";"1827,59";"1927,38";"1977,92";"2135,01";"2333,99";"2661,35";"2743,16";"2870,60";"3100,15";":";
"1101521000";"Powiat brzeziński";"1521,95";"1597,31";"1659,85";"1666,97";"1705,66";"1832,80";"1992,51";"2163,93";"2379,47";"2440,72";":";
"1101661000";"Powiat m.Łódź";"2102,42";"2164,79";"2293,67";"2401,67";"2500,84";"2698,09";"3002,12";"3159,24";"3243,15";"3427,06";":";
"1101701000";"Powiat bełchatowski";"2970,31";"3019,04";"3291,46";"3133,78";"3222,41";"3415,66";"3745,53";"3958,40";"4628,24";"4940,22";":";
"1101707000";"Powiat opoczyński";"1951,86";"1934,61";"2020,22";"2095,33";"2154,67";"2304,53";"2494,48";"2438,50";"2650,06";"2856,43";":";
"1101710000";"Powiat piotrkowski";"1583,62";"1633,99";"1656,89";"1680,07";"1771,10";"1915,05";"2228,74";"2346,40";"2463,77";"2651,98";":";
"1101712000";"Powiat radomszczański";"1661,01";"1648,68";"1678,78";"1734,71";"1804,39";"1948,95";"2182,42";"2362,69";"2470,64";"2631,03";":";
"1101716000";"Powiat tomaszowski";"1693,06";"1769,00";"1837,38";"1915,00";"2006,06";"2131,36";"2386,32";"2526,55";"2745,64";"2823,87";":";
"1101762000";"Powiat m.Piotrków Trybunalski";"1632,58";"1657,79";"1694,80";"1779,12";"1904,33";"2038,83";"2236,07";"2357,31";"2460,57";"2577,18";":";
"1101803000";"Powiat łaski";"1639,84";"1703,00";"1726,31";"1780,05";"1818,77";"1974,65";"2216,28";"2340,75";"2481,94";"2572,43";":";
"1101809000";"Powiat pajęczański";"1797,49";"1876,58";"1932,39";"2006,22";"2226,46";"2369,57";"2620,17";"2817,42";"2950,74";"3061,69";":";
"1101811000";"Powiat poddębicki";"1619,07";"1730,05";"1791,63";"1870,70";"1999,19";"2257,29";"2717,44";"2908,49";"3087,08";"3294,65";":";
"1101814000";"Powiat sieradzki";"1784,81";"1839,17";"1885,54";"1932,30";"2025,48";"2230,79";"2492,09";"2633,64";"2766,04";"2895,40";":";
"1101817000";"Powiat wieluński";"1595,23";"1646,06";"1730,84";"1777,06";"1847,60";"2027,69";"2276,32";"2361,93";"2458,98";"2576,71";":";
"1101818000";"Powiat wieruszowski";"1604,22";"1698,86";"1730,61";"1753,18";"1976,28";"2112,16";"2307,55";"2361,88";"2460,96";"2538,28";":";
"1101819000";"Powiat zduńskowolski";"1759,22";"1760,49";"1823,30";"1902,37";"1990,10";"2185,13";"2411,23";"2536,23";"2683,69";"2788,39";":";
"1101902000";"Powiat kutnowski";"1874,25";"1924,06";"2036,36";"2103,56";"2127,10";"2356,15";"2553,09";"2748,82";"2871,15";"3027,99";":";
"1101904000";"Powiat łęczycki";"1766,80";"1919,81";"1965,28";"2052,22";"2186,67";"2347,22";"2688,12";"2828,64";"2893,63";"3071,35";":";
"1101905000";"Powiat łowicki";"1797,06";"1849,03";"1939,86";"1998,33";"2068,80";"2216,80";"2386,89";"2582,14";"2718,68";"2845,87";":";
"1101913000";"Powiat rawski";"1622,62";"1703,80";"1795,62";"1836,87";"1999,61";"2197,43";"2451,01";"2664,06";"2797,21";"2908,69";":";
"1101915000";"Powiat skierniewicki";"1845,09";"1944,84";"2020,66";"2007,40";"2141,30";"2249,45";"2487,44";"2513,53";"2651,10";"2725,69";":";
"1101963000";"Powiat m.Skierniewice";"1937,81";"1986,44";"1965,72";"2039,59";"2111,22";"2328,45";"2419,72";"2584,82";"2799,96";"2916,61";":";
"1140000000";" MAZOWIECKIE";"2893,83";"3005,37";"3095,96";"3227,04";"3381,13";"3670,84";"4036,26";"4179,63";"4279,55";"4504,66";":";
"1142502000";"Powiat ciechanowski";"2003,01";"2011,22";"2064,98";"2206,68";"2325,24";"2519,76";"2832,91";"2994,66";"3130,28";"3266,07";":";
"1142504000";"Powiat gostyniński";"1675,57";"1759,23";"1778,95";"1848,71";"1936,88";"2178,12";"2606,63";"2630,32";"2710,26";"2861,89";":";
"1142513000";"Powiat mławski";"1641,24";"1688,44";"1770,40";"1929,75";"1871,19";"2033,79";"2313,26";"2450,21";"2410,05";"2663,08";":";
"1142519000";"Powiat płocki";"1780,09";"1893,98";"1960,34";"2046,38";"2185,48";"2368,58";"2583,43";"2725,27";"2847,74";"3035,58";":";
"1142520000";"Powiat płoński";"1952,97";"1947,06";"2048,35";"2130,09";"2207,56";"2355,98";"2684,48";"2897,99";"2998,43";"3148,95";":";
"1142527000";"Powiat sierpecki";"1992,31";"1929,50";"1928,86";"2022,79";"2002,15";"2208,77";"2388,30";"2703,99";"2812,38";"2863,24";":";
"1142537000";"Powiat żuromiński";"1632,54";"1686,69";"1765,07";"1805,90";"1882,02";"2027,67";"2263,09";"2517,04";"2660,82";"2792,74";":";
"1142562000";"Powiat m.Płock";"2742,56";"2817,68";"2906,91";"3014,76";"3181,39";"3541,16";"3816,45";"3980,94";"4133,50";"4428,47";":";
"1142610000";"Powiat łosicki";"1792,75";"1836,42";"1964,15";"2008,38";"2094,12";"2223,68";"2486,81";"2646,05";"2797,16";"2942,59";":";
"1142611000";"Powiat makowski";"1795,02";"1828,99";"1866,24";"1855,61";"1988,16";"2136,62";"2312,54";"2563,58";"2718,94";"3208,26";":";
"1142615000";"Powiat ostrołęcki";"1916,60";"2009,43";"2091,84";"2127,33";"2316,68";"2593,71";"2798,44";"2823,73";"2934,19";"3114,20";":";
"1142616000";"Powiat ostrowski";"1771,03";"1870,92";"1995,49";"2009,11";"2129,62";"2280,67";"2504,57";"2721,24";"2830,95";"3088,60";":";
"1142622000";"Powiat przasnyski";"1847,04";"1902,77";"1990,59";"2051,37";"2164,33";"2311,81";"2632,16";"2756,12";"2914,19";"3077,41";":";
"1142624000";"Powiat pułtuski";"1758,13";"1821,24";"1869,35";"1995,95";"2053,62";"2201,92";"2438,23";"2679,49";"2761,46";"2956,09";":";
"1142626000";"Powiat siedlecki";"1779,92";"1825,13";"1881,97";"1909,65";"1945,73";"2140,61";"2359,38";"2481,86";"2620,39";"2818,47";":";
"1142629000";"Powiat sokołowski";"1851,31";"1888,11";"1969,96";"2030,77";"2173,36";"2389,28";"2551,94";"2620,86";"2807,84";"2865,03";":";
"1142633000";"Powiat węgrowski";"1784,71";"1861,61";"1930,25";"1978,28";"2045,22";"2181,80";"2449,36";"2634,86";"2694,10";"2874,11";":";
"1142635000";"Powiat wyszkowski";"1753,81";"1803,30";"1877,08";"2009,14";"2097,27";"2251,45";"2452,25";"2640,99";"2782,91";"2875,51";":";
"1142661000";"Powiat m.Ostrołęka";"2237,11";"2270,10";"2400,95";"2485,73";"2607,81";"2868,54";"3074,15";"3288,00";"3390,85";"3638,36";":";
"1142664000";"Powiat m.Siedlce";"2111,64";"2208,38";"2271,58";"2310,82";"2442,82";"2618,05";"2864,61";"3056,15";"3190,80";"3364,77";":";
"1142701000";"Powiat białobrzeski";"1808,58";"1903,05";"1990,54";"2065,80";"2154,92";"2428,98";"2565,06";"2818,81";"3001,33";"3179,16";":";
"1142707000";"Powiat kozienicki";"2609,25";"2602,19";"2728,18";"2722,64";"2767,72";"2984,35";"3365,76";"3580,52";"3818,70";"4067,12";":";
"1142709000";"Powiat lipski";"1701,07";"1720,03";"1765,33";"1925,82";"2027,40";"2272,26";"2456,24";"2611,10";"2742,24";"3059,71";":";
"1142723000";"Powiat przysuski";"1756,41";"1862,02";"1927,29";"1962,75";"2014,46";"2197,10";"2450,46";"2590,71";"2815,47";"2971,37";":";
